parcellation_label,parcellation_term_label,parcellation_term_set_label,parcellation_index,voxel_count,volume_mm3,color_hex_triplet,red,green,blue,parcellation_term_name,parcellation_term_acronym,parcellation_term_set_name,term_set_order,term_order,parent_term_label
AllenCCF-Annotation-2020-558,AllenCCF-Ontology-2017-353,AllenCCF-Ontology-2017-STRU,548,404326,0.4043260000000001,#188064,24,128,100,"Primary somatosensory area, nose",SSp-n,structure,3,4,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-558,AllenCCF-Ontology-2017-558,AllenCCF-Ontology-2017-SUBS,548,404326,0.4043260000000001,#188064,24,128,100,"Primary somatosensory area, nose, layer 1",SSp-n1,substructure,4,16,AllenCCF-Ontology-2017-353
AllenCCF-Annotation-2020-838,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,828,640936,0.6409360000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-838,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,828,640936,0.6409360000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-838,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,828,640936,0.6409360000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-838,AllenCCF-Ontology-2017-353,AllenCCF-Ontology-2017-STRU,828,640936,0.6409360000000001,#188064,24,128,100,"Primary somatosensory area, nose",SSp-n,structure,3,4,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-838,AllenCCF-Ontology-2017-838,AllenCCF-Ontology-2017-SUBS,828,640936,0.6409360000000001,#188064,24,128,100,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,substructure,4,17,AllenCCF-Ontology-2017-353
AllenCCF-Annotation-2020-654,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,644,548128,0.5481280000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-654,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,644,548128,0.5481280000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-654,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,644,548128,0.5481280000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-654,AllenCCF-Ontology-2017-353,AllenCCF-Ontology-2017-STRU,644,548128,0.5481280000000001,#188064,24,128,100,"Primary somatosensory area, nose",SSp-n,structure,3,4,AllenCCF-Ontology-2017-315
